rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,policy_lane,diff_readiness_status,projected_refresh_date,state_observation_count,person_count,program_count,deterministic_advancement_count,deterministic_completion_count,source_refresh_required_count,human_review_required_count,no_change_expected_count,stale_by_refresh_count,auto_classifiable_transition_count,fresh_observation_required_count,dominant_policy_lane,dominant_diff_readiness_status,recommended_operator_action,evidence_json
training_transition_plan_rollup_d3d14d76fe48a9ec7b93,lifecycle_code,US_GME_ANESTHESIA_CA_PHASE_3Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_ANESTHESIA_CA_PHASE_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,75,75,1,52,23,0,0,0,75,75,75,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 75}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 52, ""deterministic_expected_completion"": 23}, ""role_counts"": {""resident"": 75}, ""trainee_category_counts"": {""resident"": 75}}"
training_transition_plan_rollup_dfd830f89a3625485365,lifecycle_code,US_GME_FELLOWSHIP_1Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,92,92,31,0,0,91,1,0,92,0,92,source_refresh_required,diff_source_refresh_bound,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_review_bound"": 1, ""diff_source_refresh_bound"": 91}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 92}, ""policy_lane_counts"": {""manual_review_required"": 1, ""source_refresh_required"": 91}, ""role_counts"": {""fellow"": 92}, ""trainee_category_counts"": {""fellow"": 92}}"
training_transition_plan_rollup_16ca20675fb1f2c5cd0a,lifecycle_code,US_GME_FELLOWSHIP_2Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,86,84,8,28,26,27,5,0,86,54,86,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 54, ""diff_review_bound"": 5, ""diff_source_refresh_bound"": 27}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_2Y"": 86}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 28, ""deterministic_expected_completion"": 26, ""manual_review_required"": 5, ""source_refresh_required"": 27}, ""role_counts"": {""fellow"": 86}, ""trainee_category_counts"": {""fellow"": 86}}"
training_transition_plan_rollup_e3565670206eb0831410,lifecycle_code,US_GME_FELLOWSHIP_3Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,124,124,5,72,35,10,7,0,124,107,124,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 107, ""diff_review_bound"": 7, ""diff_source_refresh_bound"": 10}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_3Y"": 124}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 72, ""deterministic_expected_completion"": 35, ""manual_review_required"": 7, ""source_refresh_required"": 10}, ""role_counts"": {""fellow"": 124}, ""trainee_category_counts"": {""fellow"": 124}}"
training_transition_plan_rollup_a25ce05a8f84b456ec7f,lifecycle_code,US_GME_FELLOWSHIP_DURATION_UNKNOWN,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,diff_source_refresh_bound,2027-08-15,76,74,22,0,0,64,12,0,76,0,76,source_refresh_required,diff_source_refresh_bound,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_review_bound"": 12, ""diff_source_refresh_bound"": 64}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 76}, ""policy_lane_counts"": {""manual_review_required"": 12, ""source_refresh_required"": 64}, ""role_counts"": {""fellow"": 76}, ""trainee_category_counts"": {""fellow"": 76}}"
training_transition_plan_rollup_7cba8faf22f1ba823226,lifecycle_code,US_GME_PRELIMINARY_1Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_PRELIMINARY_1Y,deterministic_expected_completion,diff_expected_change_classifiable,2027-08-15,13,13,1,0,13,0,0,0,13,13,13,deterministic_expected_completion,diff_expected_change_classifiable,classify_expected_completion_absences_with_fresh_source_refresh,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 13}, ""lifecycle_code_counts"": {""US_GME_PRELIMINARY_1Y"": 13}, ""policy_lane_counts"": {""deterministic_expected_completion"": 13}, ""role_counts"": {""resident"": 13}, ""trainee_category_counts"": {""resident"": 13}}"
training_transition_plan_rollup_26d03bb848756c6c0dd7,lifecycle_code,US_GME_RESIDENCY_3Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,351,240,7,234,107,0,10,0,351,341,351,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 341, ""diff_review_bound"": 10}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 351}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 234, ""deterministic_expected_completion"": 107, ""manual_review_required"": 10}, ""role_counts"": {""resident"": 351}, ""trainee_category_counts"": {""resident"": 351}}"
training_transition_plan_rollup_1e2a9b6997e31dd6fbca,lifecycle_code,US_GME_RESIDENCY_4Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_4Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,137,122,6,107,23,7,0,0,137,130,137,deterministic_expected_advancement,diff_expected_change_classifiable,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 130, ""diff_source_refresh_bound"": 7}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_4Y"": 137}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 107, ""deterministic_expected_completion"": 23, ""source_refresh_required"": 7}, ""role_counts"": {""resident"": 137}, ""trainee_category_counts"": {""resident"": 137}}"
training_transition_plan_rollup_4ecebffe529607f9c73c,lifecycle_code,US_GME_RESIDENCY_5Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_5Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,309,309,9,123,17,169,0,0,309,140,309,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 140, ""diff_source_refresh_bound"": 169}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_5Y"": 309}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 123, ""deterministic_expected_completion"": 17, ""source_refresh_required"": 169}, ""role_counts"": {""resident"": 309}, ""trainee_category_counts"": {""resident"": 309}}"
training_transition_plan_rollup_5bf79c8d839d934167f1,lifecycle_code,US_GME_RESIDENCY_6Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_6Y,source_refresh_required,diff_expected_change_classifiable,2027-08-15,56,56,3,25,5,26,0,0,56,30,56,source_refresh_required,diff_expected_change_classifiable,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 30, ""diff_source_refresh_bound"": 26}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_6Y"": 56}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 25, ""deterministic_expected_completion"": 5, ""source_refresh_required"": 26}, ""role_counts"": {""resident"": 56}, ""trainee_category_counts"": {""resident"": 56}}"
training_transition_plan_rollup_6d8c74e5d5c7eaea718c,lifecycle_code,US_GME_RESIDENCY_7Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_7Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,21,21,1,18,3,0,0,0,21,21,21,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 21}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_7Y"": 21}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 18, ""deterministic_expected_completion"": 3}, ""role_counts"": {""resident"": 21}, ""trainee_category_counts"": {""resident"": 21}}"
training_transition_plan_rollup_d3de963840a226af8707,lifecycle_code,US_GME_RESIDENCY_DURATION_UNKNOWN,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_DURATION_UNKNOWN,manual_review_required,diff_review_bound,2027-08-15,104,104,3,0,0,8,96,0,104,0,104,manual_review_required,diff_review_bound,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_review_bound"": 96, ""diff_source_refresh_bound"": 8}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_DURATION_UNKNOWN"": 104}, ""policy_lane_counts"": {""manual_review_required"": 96, ""source_refresh_required"": 8}, ""role_counts"": {""resident"": 104}, ""trainee_category_counts"": {""resident"": 104}}"
training_transition_plan_rollup_312f776074b49445b4f4,lifecycle_code,US_MD_PHD_MSTP_VARIABLE,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,,US_MD_PHD_MSTP_VARIABLE,source_refresh_required,diff_source_refresh_bound,2027-08-15,225,225,1,0,0,225,0,0,225,0,225,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 225}, ""lifecycle_code_counts"": {""US_MD_PHD_MSTP_VARIABLE"": 225}, ""policy_lane_counts"": {""source_refresh_required"": 225}, ""role_counts"": {""medical_student"": 225}, ""trainee_category_counts"": {""medical_student"": 225}}"
training_transition_plan_rollup_1ce920e2596a6fbf9709,lifecycle_code,none,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,none,carry_forward_no_change,diff_no_change_expected,2027-08-15,13,13,1,0,0,0,0,13,0,0,0,carry_forward_no_change,diff_no_change_expected,monitor_or_retain_until_fresh_source_contradiction,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_no_change_expected"": 13}, ""lifecycle_code_counts"": {""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13}, ""role_counts"": {""fellow"": 13}, ""trainee_category_counts"": {""fellow"": 13}}"
training_transition_plan_rollup_314915e025975a3cf007,policy_lane,carry_forward_no_change,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,none,carry_forward_no_change,diff_no_change_expected,2027-08-15,13,13,1,0,0,0,0,13,0,0,0,carry_forward_no_change,diff_no_change_expected,monitor_or_retain_until_fresh_source_contradiction,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_no_change_expected"": 13}, ""lifecycle_code_counts"": {""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13}, ""role_counts"": {""fellow"": 13}, ""trainee_category_counts"": {""fellow"": 13}}"
training_transition_plan_rollup_ab10f9117e4f27753a61,policy_lane,deterministic_expected_advancement,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,659,575,32,659,0,0,0,0,659,659,659,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_with_fresh_roster_observations,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 659}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 52, ""US_GME_FELLOWSHIP_2Y"": 28, ""US_GME_FELLOWSHIP_3Y"": 72, ""US_GME_RESIDENCY_3Y"": 234, ""US_GME_RESIDENCY_4Y"": 107, ""US_GME_RESIDENCY_5Y"": 123, ""US_GME_RESIDENCY_6Y"": 25, ""US_GME_RESIDENCY_7Y"": 18}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 659}, ""role_counts"": {""fellow"": 100, ""resident"": 559}, ""trainee_category_counts"": {""fellow"": 100, ""resident"": 559}}"
training_transition_plan_rollup_ad82ca13f1553d9ed03d,policy_lane,deterministic_expected_completion,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,deterministic_expected_completion,diff_expected_change_classifiable,2027-08-15,252,216,31,0,252,0,0,0,252,252,252,deterministic_expected_completion,diff_expected_change_classifiable,classify_expected_completion_absences_with_fresh_source_refresh,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 252}, ""lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 23, ""US_GME_FELLOWSHIP_2Y"": 26, ""US_GME_FELLOWSHIP_3Y"": 35, ""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_3Y"": 107, ""US_GME_RESIDENCY_4Y"": 23, ""US_GME_RESIDENCY_5Y"": 17, ""US_GME_RESIDENCY_6Y"": 5, ""US_GME_RESIDENCY_7Y"": 3}, ""policy_lane_counts"": {""deterministic_expected_completion"": 252}, ""role_counts"": {""fellow"": 61, ""resident"": 191}, ""trainee_category_counts"": {""fellow"": 61, ""resident"": 191}}"
