rollup_key,rollup_scope,rollup_value,role,trainee_category,program_name,lifecycle_code,projected_refresh_date,state_observation_count,person_count,program_count,annual_clock_count,expected_advancement_count,expected_completion_count,source_refresh_required_count,human_review_required_count,stale_by_refresh_count,unexpected_absence_review_count,deterministic_transition_count,source_bound_transition_count,review_bound_transition_count,assurance_status,diff_readiness_status,stale_information_policy,recommended_operator_action,evidence_json
lifecycle_assurance_312f776074b49445b4f4,lifecycle_code,US_MD_PHD_MSTP_VARIABLE,,,,US_MD_PHD_MSTP_VARIABLE,2027-08-15,225,225,1,0,0,0,225,0,225,0,0,225,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_MD_PHD_MSTP_VARIABLE"": 225}, ""dominant_role_counts"": {""medical_student"": 225}, ""dominant_trainee_category_counts"": {""medical_student"": 225}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 225}, ""readiness_status_counts"": {""source_refresh_required_window"": 225}}"
lifecycle_assurance_1ce920e2596a6fbf9709,lifecycle_code,none,,,,none,2027-08-15,13,13,1,0,0,0,0,0,0,13,0,0,0,stable_or_no_change_expected,diff_can_classify_but_missing_rows_need_review,retain unless contradicted by fresh public source,monitor_next_refresh,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""none"": 13}, ""dominant_role_counts"": {""fellow"": 13}, ""dominant_trainee_category_counts"": {""fellow"": 13}, ""missing_expectation_counts"": {""unexpected_absence_review"": 13}, ""readiness_status_counts"": {""active_no_change_expected"": 13}}"
lifecycle_assurance_2444de76f740ea0246f6,program,ABR Alternate Pathway to Certification,,,ABR Alternate Pathway to Certification,,2027-08-15,1,1,1,0,0,0,1,0,1,0,0,1,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 1}, ""dominant_role_counts"": {""fellow"": 1}, ""dominant_trainee_category_counts"": {""fellow"": 1}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 1}, ""readiness_status_counts"": {""source_refresh_required_window"": 1}}"
lifecycle_assurance_28c38a411005360eaf18,program,Abdominal Imaging Fellowship,,,Abdominal Imaging Fellowship,,2027-08-15,9,9,1,0,0,0,9,0,9,0,0,9,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 9}, ""dominant_role_counts"": {""fellow"": 9}, ""dominant_trainee_category_counts"": {""fellow"": 9}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 9}, ""readiness_status_counts"": {""source_refresh_required_window"": 9}}"
lifecycle_assurance_9efa2c3134617f7f35fe,program,Adult Congenital Heart Disease Fellowship,,,Adult Congenital Heart Disease Fellowship,,2027-08-15,2,2,1,0,0,0,2,0,2,0,0,2,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_2Y"": 2}, ""dominant_role_counts"": {""fellow"": 2}, ""dominant_trainee_category_counts"": {""fellow"": 2}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 2}, ""readiness_status_counts"": {""source_refresh_required_window"": 2}}"
lifecycle_assurance_c37a7bf45cf61834ba12,program,Adult Reconstructive Orthopedics Fellowship,,,Adult Reconstructive Orthopedics Fellowship,,2027-08-15,3,3,1,0,0,0,3,0,3,0,0,3,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 3}, ""dominant_role_counts"": {""fellow"": 3}, ""dominant_trainee_category_counts"": {""fellow"": 3}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 3}, ""readiness_status_counts"": {""source_refresh_required_window"": 3}}"
lifecycle_assurance_c6ec62925faff6aa7b71,program,Advanced Gastroenterology and Hepatology Fellowship,,,Advanced Gastroenterology and Hepatology Fellowship,,2027-08-15,2,2,1,0,0,0,2,0,2,0,0,2,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_3Y"": 2}, ""dominant_role_counts"": {""fellow"": 2}, ""dominant_trainee_category_counts"": {""fellow"": 2}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 2}, ""readiness_status_counts"": {""source_refresh_required_window"": 2}}"
lifecycle_assurance_bb82ee7a4d51d84b7aab,program,Advanced Heart Failure Transplant Cardiology Fellowship,,,Advanced Heart Failure Transplant Cardiology Fellowship,,2027-08-15,2,2,1,0,0,0,2,0,2,0,0,2,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""dominant_role_counts"": {""fellow"": 2}, ""dominant_trainee_category_counts"": {""fellow"": 2}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 2}, ""readiness_status_counts"": {""source_refresh_required_window"": 2}}"
lifecycle_assurance_ae1f056b1501447b6dd4,program,Advanced Musculoskeletal Fellowship,,,Advanced Musculoskeletal Fellowship,,2027-08-15,3,3,1,0,0,0,3,0,3,0,0,3,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 3}, ""dominant_role_counts"": {""fellow"": 3}, ""dominant_trainee_category_counts"": {""fellow"": 3}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 3}, ""readiness_status_counts"": {""source_refresh_required_window"": 3}}"
lifecycle_assurance_75f7df425cd54a32eca8,program,Advanced Noninvasive Cardiac Imaging Fellowship,,,Advanced Noninvasive Cardiac Imaging Fellowship,,2027-08-15,2,2,1,0,0,0,2,0,2,0,0,2,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""dominant_role_counts"": {""fellow"": 2}, ""dominant_trainee_category_counts"": {""fellow"": 2}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 2}, ""readiness_status_counts"": {""source_refresh_required_window"": 2}}"
lifecycle_assurance_4c4ac36aa8a3deb05fee,program,Advanced Nuclear Radiology Fellowship,,,Advanced Nuclear Radiology Fellowship,,2027-08-15,1,1,1,0,0,0,1,0,1,0,0,1,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 1}, ""dominant_role_counts"": {""fellow"": 1}, ""dominant_trainee_category_counts"": {""fellow"": 1}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 1}, ""readiness_status_counts"": {""source_refresh_required_window"": 1}}"
lifecycle_assurance_eee164bd74ebfc482a70,program,Allergy and Immunology Fellowship,,,Allergy and Immunology Fellowship,,2027-08-15,4,4,1,4,2,2,0,0,4,2,4,0,0,deterministic_clock_supported,diff_can_classify_but_missing_rows_need_review,absence after stale-after is expected completion/alumni candidate,accept_expected_advancements_and_completion_absences_with_fresh_observation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_2Y"": 4}, ""dominant_role_counts"": {""fellow"": 4}, ""dominant_trainee_category_counts"": {""fellow"": 4}, ""missing_expectation_counts"": {""expected_absence_after_completion"": 2, ""unexpected_absence_review"": 2}, ""readiness_status_counts"": {""expected_advancement_window"": 2, ""expected_completion_window"": 2}}"
lifecycle_assurance_d5a9d5a34c9e18287f3e,program,Anesthesiology Residency,,,Anesthesiology Residency,,2027-08-15,97,97,1,94,71,23,3,0,97,71,94,3,0,source_refresh_bound,diff_can_classify_but_missing_rows_need_review,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_ANESTHESIA_CA_PHASE_3Y"": 75, ""US_GME_RESIDENCY_4Y"": 22}, ""dominant_role_counts"": {""resident"": 97}, ""dominant_trainee_category_counts"": {""resident"": 97}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 3, ""expected_absence_after_completion"": 23, ""unexpected_absence_review"": 71}, ""readiness_status_counts"": {""expected_advancement_window"": 71, ""expected_completion_window"": 23, ""source_refresh_required_window"": 3}}"
lifecycle_assurance_7cb93d846b8a23e4a382,program,Aortic Surgery Fellowship,,,Aortic Surgery Fellowship,,2027-08-15,2,2,1,0,0,0,2,0,2,0,0,2,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""dominant_role_counts"": {""fellow"": 2}, ""dominant_trainee_category_counts"": {""fellow"": 2}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 2}, ""readiness_status_counts"": {""source_refresh_required_window"": 2}}"
lifecycle_assurance_e86828883a8915f86ecf,program,Breast Pathology Fellowship,,,Breast Pathology Fellowship,,2027-08-15,1,1,1,0,0,0,1,0,1,0,0,1,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 1}, ""dominant_role_counts"": {""fellow"": 1}, ""dominant_trainee_category_counts"": {""fellow"": 1}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 1}, ""readiness_status_counts"": {""source_refresh_required_window"": 1}}"
lifecycle_assurance_3c8a66abbb66b3f233d2,program,CHOP Otolaryngology Fellowship,,,CHOP Otolaryngology Fellowship,,2027-08-15,4,4,1,0,0,0,4,0,4,0,0,4,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 4}, ""dominant_role_counts"": {""fellow"": 4}, ""dominant_trainee_category_counts"": {""fellow"": 4}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 4}, ""readiness_status_counts"": {""source_refresh_required_window"": 4}}"
lifecycle_assurance_5e1f644b83e261936d74,program,Cardio-Oncology Fellowship,,,Cardio-Oncology Fellowship,,2027-08-15,2,2,1,0,0,0,2,0,2,0,0,2,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""dominant_role_counts"": {""fellow"": 2}, ""dominant_trainee_category_counts"": {""fellow"": 2}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 2}, ""readiness_status_counts"": {""source_refresh_required_window"": 2}}"
lifecycle_assurance_668b4b5be88e1cfda03b,program,Cardiothoracic Fellowship,,,Cardiothoracic Fellowship,,2027-08-15,1,1,1,0,0,0,1,0,1,0,0,1,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 1}, ""dominant_role_counts"": {""fellow"": 1}, ""dominant_trainee_category_counts"": {""fellow"": 1}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 1}, ""readiness_status_counts"": {""source_refresh_required_window"": 1}}"
lifecycle_assurance_6f560ba5ec9be423683e,program,Cardiothoracic Surgery Residency,,,Cardiothoracic Surgery Residency,,2027-08-15,15,15,1,10,8,2,5,0,15,8,10,5,0,source_refresh_bound,diff_can_classify_but_missing_rows_need_review,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_RESIDENCY_6Y"": 15}, ""dominant_role_counts"": {""resident"": 15}, ""dominant_trainee_category_counts"": {""resident"": 15}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 5, ""expected_absence_after_completion"": 2, ""unexpected_absence_review"": 8}, ""readiness_status_counts"": {""expected_advancement_window"": 8, ""expected_completion_window"": 2, ""source_refresh_required_window"": 5}}"
lifecycle_assurance_08b9274ce4d011087056,program,Cardiothoracic Transplantation Surgery Fellowship,,,Cardiothoracic Transplantation Surgery Fellowship,,2027-08-15,1,1,1,0,0,0,1,0,1,0,0,1,0,source_refresh_bound,diff_requires_fresh_source_before_retention,stale only when source refresh fails to reconfirm,refresh_source_before_carrying_forward_state,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 1}, ""dominant_role_counts"": {""fellow"": 1}, ""dominant_trainee_category_counts"": {""fellow"": 1}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 1}, ""readiness_status_counts"": {""source_refresh_required_window"": 1}}"
lifecycle_assurance_f002a3d7a6ee623a2b63,program,Cardiovascular Disease Fellowship,,,Cardiovascular Disease Fellowship,,2027-08-15,33,33,1,32,22,10,0,1,33,22,32,0,1,mixed_with_human_review,diff_requires_review_queue,do_not_auto_mutate; stale rows enter review,review_lifecycle_rule_source_label_or_identity_before_mutation,"{""derived_from"": [""training_state_machine_audit"", ""training_state_refresh_expectations""], ""dominant_lifecycle_code_counts"": {""US_GME_FELLOWSHIP_3Y"": 33}, ""dominant_role_counts"": {""fellow"": 33}, ""dominant_trainee_category_counts"": {""fellow"": 33}, ""missing_expectation_counts"": {""absence_requires_source_reconciliation"": 1, ""expected_absence_after_completion"": 10, ""unexpected_absence_review"": 22}, ""readiness_status_counts"": {""expected_advancement_window"": 22, ""expected_completion_window"": 10, ""review_required_window"": 1}}"
